bhk,propertytype,location,sqft,pricepersqft,totalprice
2,Flat,Ernakulam,750,2500,4500000
3,Flat,Ernakulam,1800,4669,16000000
3,Flat,Ernakulam,1651,2994,8500000
3,Flat,Ernakulam,1557,4231,8500000
3,Flat,Ernakulam,1650,5556,8400000
3,Flat,Ernakulam,1400,5809,12500000
2,Flat,Ernakulam,644,6585,3800000
2,Flat,Ernakulam,1000,5517,5500000
3,Flat,Ernakulam,1769,9894,17000000
2,Flat,Ernakulam,850,3558,5000000
3,Flat,Ernakulam,1000,4400,6500000
3,Flat,Faridabad,1710,6433,11000000
2,Flat,Faridabad,1255,6350,7970000
3,Flat,Faridabad,1222,8439,12000000
3,Flat,Faridabad,1350,7111,9600000
3,Flat,Faridabad,1257,7707,12000000
3,Flat,Faridabad,1782,9259,16500000
3,Flat,Faridabad,1365,6070,9500000
3,Flat,Faridabad,1820,7143,13000000
3,Flat,Faridabad,1710,6433,11000000
2,Flat,Faridabad,1174,5000,5870000
3,Flat,Faridabad,1350,7111,9600000
2,Flat,Faridabad,600,3750,3000000
3,Flat,Faridabad,1620,8242,15000000
3,Flat,Faridabad,2160,8000,18000000
3,Flat,Faridabad,1600,7353,12500000
2,Flat,Faridabad,850,4245,5200000
2,Flat,Faridabad,600,4250,3400000
3,Flat,Faridabad,2025,6222,14000000
3,Flat,Faridabad,1000,3550,3550000
3,Flat,Faridabad,1450,8615,13500000
3,Flat,Faridabad,1765,7226,14200000
2,Flat,Faridabad,1247,6350,7920000
3,Flat,Faridabad,645,5197,3379999
3,Flat,Faridabad,1365,6070,9500000
3,Flat,Faridabad,1458,8951,14500000
3,Flat,Faridabad,1600,5501,8800000
3,Flat,Faridabad,1263,4650,9300000
3,Flat,Faridabad,1495,5017,7500000
3,Flat,Faridabad,1982,5495,12000000
3,Flat,Faridabad,1365,6390,10000000
3,Flat,Faridabad,1500,7273,12000000
3,Flat,Faridabad,1600,6316,12000000
3,Flat,Faridabad,1850,6889,15500000
3,Flat,Faridabad,725,3889,3500000
2,Flat,Faridabad,1150,5087,6450000
3,Flat,Faridabad,2250,6000,13500000
3,Flat,Faridabad,1530,4012,6500000
2,Flat,Faridabad,1025,4743,6000000
3,Flat,Faridabad,2200,6400,16000000
3,Flat,Faridabad,1420,6790,11000000
2,Flat,Faridabad,1200,5766,7720000
3,Flat,Faridabad,1850,6000,13500000
3,Flat,Faridabad,1365,6070,9500000
3,Flat,Faridabad,1263,5463,10300000
3,Flat,Faridabad,1400,7222,13000000
3,Flat,Faridabad,1200,5714,8000000
3,Flat,Faridabad,1461,5900,9800000
2,Flat,Faridabad,900,3728,5100000
2,Flat,Faridabad,646,4075,3350000
3,Flat,Faridabad,645,4471,3800000
2,Flat,Faridabad,780,8000,1300000
3,Flat,Faridabad,1850,3250,18000000
2,Flat,Faridabad,950,8581,3900000
3,Flat,Faridabad,1350,14444,13300000
2,Flat,Faridabad,810,5526,4200000
3,Flat,Faridabad,1600,6857,10500000
3,Flat,Faridabad,1800,4889,16800000
3,Flat,Faridabad,2250,5111,11000000
2,Flat,Faridabad,1174,3269,6000000
3,Flat,Faridabad,1437,16461,4700000
3,Flat,Faridabad,1900,3814,18000000
2,Flat,Faridabad,1075,6667,4100000
3,Flat,Faridabad,1800,6049,15000000
2,Flat,Faridabad,1200,7857,8100000
2,Flat,Faridabad,2250,4000,11000000
3,Flat,Faridabad,645,6473,3600000
3,Flat,Faridabad,1483,5417,9600000
2,Flat,Faridabad,1200,5461,6500000
2,Flat,Faridabad,586,8087,3200000
2,Flat,Faridabad,1200,5787,8300000
2,Flat,Faridabad,953,6481,7500000
3,Flat,Faridabad,1620,7568,10500000
3,Flat,Faridabad,1700,5401,14000000
2,Flat,Faridabad,648,4300,3500000
3,Flat,Faridabad,800,6842,4300000
3,Flat,Faridabad,1900,5199,13000000
3,Flat,Faridabad,1100,6556,7200000
3,Flat,Faridabad,1600,4019,11800000
2,Flat,Faridabad,1045,8516,4200000
3,Flat,Faridabad,1620,7383,15500000
3,Flat,Faridabad,745,3570,5500000
2,Flat,Faridabad,600,3086,3570000
3,Flat,Faridabad,990,4167,5000000
3,Flat,Faridabad,2250,5500,7500000
3,Flat,Faridabad,800,15833,5500000
3,Flat,Faridabad,2025,3859,12000000
3,Flat,Faridabad,1653,5556,7150000
3,Flat,Faridabad,1850,5431,12500000
2,Flat,Faridabad,580,8182,3150000
3,Flat,Faridabad,975,5000,9000000
3,Flat,Faridabad,1100,7517,6000000
3,Flat,Faridabad,745,4959,5600000
3,Flat,Faridabad,1815,6889,9000000
2,Flat,Faridabad,800,5200,6200000
2,Flat,Faridabad,1250,5000,6500000
2,Flat,Faridabad,900,6296,5500000
3,Flat,Faridabad,1350,5159,8500000
2,Flat,Faridabad,504,3831,2600000
3,Flat,Faridabad,1044,4839,4000000
2,Flat,Faridabad,682,4039,3300000
2,Flat,Faridabad,1042,8235,4500000
2,Flat,Faridabad,827,5000,7000000
3,Flat,Faridabad,958,3274,3000000
3,Flat,Faridabad,1069,4211,3500000
3,Flat,Faridabad,1700,5128,8000000
2,Flat,Faridabad,1342,3428,4750000
2,Flat,Faridabad,780,5778,4000000
2,Flat,Faridabad,1342,7267,4600000
3,Flat,Faridabad,2250,8216,13000000
3,Flat,Faridabad,650,4923,5450000
3,Flat,Faridabad,1850,5983,15200000
3,Flat,Faridabad,650,7248,3200000
3,Flat,Faridabad,745,4186,5400000
2,Flat,Faridabad,1075,3271,4500000
2,Flat,Faridabad,1100,3428,7500000
2,Flat,Faridabad,1268,3428,10000000
3,Flat,Faridabad,1715,7485,5610000
2,Flat,Faridabad,1342,4645,4600000
2,Flat,Faridabad,1342,4988,4600000
3,Flat,Faridabad,1670,6002,12500000
2,Flat,Faridabad,984,4259,7200000
2,Flat,Faridabad,1133,4767,6800000
2,Flat,Faridabad,610,5833,2600000
3,Flat,Faridabad,990,3796,7000000
3,Flat,Faridabad,1888,3220,9000000
2,Flat,Faridabad,1200,4765,7000000
3,Flat,Faridabad,657,4724,5500000
2,Flat,Faridabad,1000,6577,3220000
3,Flat,Faridabad,645,3947,3550000
2,Flat,Faridabad,889,3276,4200000
3,Flat,Faridabad,745,5732,4900000
3,Flat,Faridabad,1140,4285,4500000
3,Flat,Faridabad,702,7119,2300000
3,Flat,Faridabad,1483,6063,8500000
3,Flat,Faridabad,1377,4828,5900000
3,Flat,Faridabad,1475,6400,10500000
2,Flat,Faridabad,1237,6727,7500000
3,Flat,Faridabad,1450,4889,7000000
3,Flat,Faridabad,2000,2469,16000000
2,Flat,Faridabad,505,9259,3400000
2,Flat,Faridabad,1358,6944,6000000
2,Flat,Faridabad,1100,5387,7400000
3,Flat,Faridabad,1800,576,8800000
2,Flat,Faridabad,900,3556,4000000
3,Flat,Faridabad,1600,10125,13500000
2,Flat,Faridabad,615,6875,3900000
3,Flat,Faridabad,1206,5556,6000000
3,Flat,Faridabad,1620,3700,12000000
2,Flat,Faridabad,1600,5556,11000000
3,Flat,Faridabad,725,5702,5000000
3,Flat,Faridabad,1750,5144,10500000
2,Flat,Faridabad,800,750,2500000
3,Flat,Faridabad,1200,4333,7000000
3,Flat,Faridabad,1750,5075,9980000
3,Flat,Faridabad,1458,6045,7500000
3,Flat,Faridabad,2000,3704,1500000
3,Flat,Faridabad,731,7083,3900000
3,Flat,Faridabad,1375,5278,8500000
3,Flat,Faridabad,1200,5091,8500000
3,Flat,Faridabad,1800,5804,15000000
2,Flat,Faridabad,920,21605,6000000
2,Flat,Faridabad,1800,5556,9500000
3,Flat,Faridabad,1755,4128,6640000
3,Flat,Faridabad,1715,4128,7000000
2,Flat,Faridabad,550,6000,2800000
3,Flat,Faridabad,1406,6000,8159999
2,Flat,Faridabad,1090,4400,4500000
2,Flat,Faridabad,1090,3750,4500000
2,Flat,Faridabad,1000,5966,6000000
2,Flat,Faridabad,450,4938,2700000
3,Flat,Faridabad,1100,8818,4200000
2,Flat,Faridabad,800,6781,5000000
3,Flat,Faridabad,1600,3556,8500000
2,Flat,Faridabad,1200,4250,4500000
2,Flat,Faridabad,704,5465,4200000
3,Flat,Faridabad,1665,4359,11200000
2,Flat,Faridabad,450,6000,1600000
2,Flat,Faridabad,800,3700,3500000
2,Flat,Faridabad,800,5556,3400000
3,Flat,Faridabad,1592,4478,8700000
2,Flat,Faridabad,1304,4444,7200000
2,Flat,Faridabad,1950,4115,8500000
3,Flat,Faridabad,1000,2800,6000000
2,Flat,Faridabad,1005,4919,4500000
3,Flat,Faridabad,645,7273,5000000
2,Flat,Faridabad,608,6652,3300000
2,Flat,Faridabad,1000,7407,2800000
2,Flat,Faridabad,1150,5650,5800000
2,Flat,Faridabad,850,11222,6500000
2,Flat,Faridabad,1075,6222,4500000
3,Flat,Faridabad,700,4373,4000000
3,Flat,Faridabad,2270,5903,15100000
2,Flat,Faridabad,900,4091,6500000
3,Flat,Faridabad,1645,3737,10500000
3,Flat,Faridabad,2250,5778,14000000
3,Flat,Faridabad,1715,7333,7500000
2,Flat,Faridabad,900,4246,8500000
2,Flat,Faridabad,1100,6627,4500000
3,Flat,Faridabad,990,4278,3700000
3,Flat,Faridabad,2150,4400,13000000
3,Flat,Faridabad,2250,168675,16500000
2,Flat,Faridabad,1100,4889,5100000
3,Flat,Faridabad,1400,5333,5950000
3,Flat,Faridabad,990,7333,3800000
3,Flat,Faridabad,1660,18667,11000000
2,Flat,Faridabad,762,9016,4800000
2,Flat,Faridabad,500,4534,1100000
3,Flat,Faridabad,731,3120,5000000
3,Flat,Faridabad,1250,4474,5500000
3,Flat,Faridabad,2097,19111,11000000
3,Flat,Faridabad,2250,6967,12000000
3,Flat,Faridabad,1500,5909,11000000
3,Flat,Faridabad,1085,4986,6000000
3,Flat,Faridabad,800,13333,3700000
2,Flat,Faridabad,1000,8889,3120000
3,Flat,Faridabad,1520,4663,8500000
3,Flat,Faridabad,1200,5851,5500000
2,Flat,Faridabad,1220,4593,8500000
2,Flat,Faridabad,1100,4067,6500000
2,Flat,Faridabad,1670,4941,11500000
2,Flat,Faridabad,1201,3875,5600000
3,Flat,Faridabad,1525,3922,6500000
3,Flat,Faridabad,1709,14706,10000000
2,Flat,Faridabad,1045,9333,4800000
3,Flat,Faridabad,1500,3121,6100000
2,Flat,Faridabad,1962,4186,3000000
2,Flat,Faridabad,1962,2200,3500000
3,Flat,Gurgaon,1753,7990,14000000
2,Flat,Gurgaon,1443,9807,14100000
3,Flat,Gurgaon,2930,15374,27200000
2,Flat,Gurgaon,1350,16667,11500000
3,Flat,Gurgaon,1530,10542,15000000
2,Flat,Gurgaon,1230,19394,8700000
3,Flat,Gurgaon,2000,11818,18500000
3,Flat,Gurgaon,1496,13121,13000000
3,Flat,Gurgaon,1454,13909,14200000
2,Flat,Gurgaon,1425,30496,14000000
3,Flat,Gurgaon,2709,13725,20500000
3,Flat,Gurgaon,645,6545,5980000
3,Flat,Gurgaon,745,11934,7200000
3,Flat,Gurgaon,1511,13730,12500000
2,Flat,Gurgaon,775,13932,7500000
3,Flat,Gurgaon,2215,14275,14000000
3,Flat,Gurgaon,1326,11622,13000000
3,Flat,Gurgaon,1400,11245,8500000
2,Flat,Gurgaon,800,15833,7200000
2,Flat,Gurgaon,650,10270,4500000
3,Flat,Gurgaon,2400,21427,22500000
3,Flat,Gurgaon,1458,7000,13500000
2,Flat,Gurgaon,1000,13000,7000000
3,Flat,Gurgaon,1960,22662,19300000
3,Flat,Gurgaon,1943,10334,18000000
2,Flat,Gurgaon,810,14657,5500000
3,Flat,Gurgaon,1400,9509,11500000
3,Flat,Gurgaon,2077,18510,19500000
2,Flat,Gurgaon,1350,59754,10000000
2,Flat,Gurgaon,990,11277,6500000
3,Flat,Gurgaon,1350,17668,7500000
3,Flat,Gurgaon,1790,14323,15700000
3,Flat,Gurgaon,1865,9973,18000000
3,Flat,Guwahati,1566,6060,9490000
3,Flat,Guwahati,1620,6969,11200000
3,Flat,Guwahati,1472,5503,8100000
3,Flat,Guwahati,1131,5200,7350000
3,Flat,Guwahati,1311,5003,6559999
3,Flat,Guwahati,1508,5062,7630000
3,Flat,Guwahati,1087,5829,7920000
3,Flat,Guwahati,896,4612,5170000
3,Flat,Guwahati,1860,8065,15000000
2,Flat,Guwahati,502,5070,3400000
3,Flat,Guwahati,1400,4839,7800000
3,Flat,Guwahati,1000,3983,4700000
3,Flat,Guwahati,1400,6429,9000000
3,Flat,Guwahati,1112,4629,7090000
3,Flat,Guwahati,1046,4205,5500000
2,Flat,Guwahati,950,4545,5000000
3,Flat,Guwahati,847,5365,6900000
3,Flat,Guwahati,1470,5800,8530000
3,Flat,Guwahati,1180,6741,11200000
3,Flat,Guwahati,1100,7386,9750000
3,Flat,Guwahati,1400,7273,12000000
3,Flat,Guwahati,850,4462,5800000
3,Flat,Guwahati,1547,9050,14000000
3,Flat,Guwahati,1320,4138,6000000
2,Flat,Guwahati,660,6061,5000000
2,Flat,Guwahati,820,6098,5000000
3,Flat,Guwahati,1300,4596,5980000
2,Flat,Guwahati,1230,5610,6900000
3,Flat,Guwahati,1350,5943,6500000
3,Flat,Guwahati,1590,5859,9450000
3,Flat,Guwahati,1280,5556,7500000
2,Flat,Guwahati,990,6641,5500000
3,Flat,Guwahati,1285,4962,8500000
3,Flat,Guwahati,1050,6000,6500000
3,Flat,Guwahati,1250,4500,7500000
2,Flat,Guwahati,626,4897,4330000
3,Flat,Guwahati,1450,5505,7100000
3,Flat,Guwahati,1090,4800,6000000
3,Flat,Guwahati,1180,4688,6870000
3,Flat,Guwahati,1600,4467,7500000
2,Flat,Guwahati,644,5082,3600000
3,Flat,Guwahati,1070,4675,6800000
3,Flat,Guwahati,1300,5062,5600000
3,Flat,Guwahati,796,5200,4710000
2,Flat,Guwahati,700,3920,5300000
2,Flat,Guwahati,750,5654,3900000
3,Flat,Guwahati,1352,5716,5300000
3,Flat,Guwahati,990,5645,7000000
3,Flat,Guwahati,1312,7398,7500000
3,Flat,Guwahati,871,4147,7000000
2,Flat,Guwahati,800,4800,5800000
3,Flat,Guwahati,984,3984,5300000
2,Flat,Guwahati,1000,5980,4800000
3,Flat,Guwahati,1280,5200,5100000
3,Flat,Guwahati,960,5806,6500000
3,Flat,Guwahati,1250,4769,6500000
3,Flat,Guwahati,1250,5515,9000000
3,Flat,Guwahati,1300,5357,6200000
3,Flat,Guwahati,966,3983,7600000
3,Flat,Guwahati,1214,4706,9010000
3,Flat,Guwahati,1205,4393,4800000
2,Flat,Guwahati,640,5530,4000000
2,Flat,Guwahati,1070,3295,4700000
3,Flat,Guwahati,1281,4375,8500000
2,Flat,Guwahati,1050,4143,3700000
3,Flat,Guwahati,1200,5862,7000000
3,Flat,Guwahati,1400,4667,5800000
3,Flat,Guwahati,1250,4964,8500000
2,Flat,Guwahati,750,4891,3500000
3,Flat,Guwahati,880,3654,5460000
3,Flat,Guwahati,1329,6100,6500000
3,Flat,Guwahati,1100,5058,4750000
3,Flat,Guwahati,1300,4500,9000000
3,Flat,Guwahati,1150,6574,6500000
2,Flat,Guwahati,775,4000,3490000
3,Flat,Guwahati,1012,5100,8940000
3,Flat,Guwahati,900,5625,5000000
3,Flat,Guwahati,1160,3917,5920000
2,Flat,Guwahati,900,5222,5000000
3,Flat,Guwahati,1200,6180,5500000
3,Flat,Guwahati,1600,805,9000000
3,Flat,Guwahati,1080,6061,4700000
2,Flat,Guwahati,1053,8421,5500000
2,Flat,Guwahati,1029,4312,6360000
2,Flat,Guwahati,970,5385,780000
3,Flat,Guwahati,1650,5000,10000000
2,Flat,Guwahati,927,5464,4700000
3,Flat,Guwahati,912,4390,7000000
2,Flat,Guwahati,900,5800,3800000
3,Flat,Guwahati,1281,6098,7000000
3,Flat,Guwahati,1545,4769,6780000
2,Flat,Guwahati,800,4471,5850000
2,Flat,Guwahati,800,5000,5800000
3,Flat,Guwahati,2050,4385,12500000
3,Flat,Guwahati,1300,3750,6200000
2,Flat,Guwahati,700,3721,3800000
3,Flat,Guwahati,1280,5583,7000000
3,Flat,Guwahati,1167,8738,5840000
3,Flat,Guwahati,1300,4722,5700000
3,Flat,Guwahati,1200,5471,4500000
3,Flat,Guwahati,975,4902,4000000
3,Flat,Guwahati,960,6000,6700000
2,Flat,Guwahati,1030,1167,9000000
2,Flat,Guwahati,680,5114,3400000
3,Flat,Guwahati,1700,3217,9300000
3,Flat,Guwahati,1300,5200,7200000
3,Flat,Guwahati,1150,5391,6500000
2,Flat,Guwahati,1000,6771,6000000
2,Flat,Guwahati,919,5169,4700000
2,Flat,Guwahati,950,8792,3700000
2,Flat,Guwahati,1000,4500,5200000
3,Flat,Guwahati,1150,5817,6200000
2,Flat,Guwahati,960,5769,6500000
3,Flat,Guwahati,1460,5545,10000000
3,Flat,Guwahati,948,6500,4900000
3,Flat,Guwahati,1308,4762,11500000
2,Flat,Guwahati,1000,6329,4500000
3,Flat,Guwahati,2063,4861,12000000
3,Flat,Guwahati,1300,5278,7500000
3,Flat,Guwahati,900,8333,6100000
3,Flat,Guwahati,1514,5357,9840000
2,Flat,Guwahati,1050,5061,5000000
3,Flat,Guwahati,1343,3333,8500000
2,Flat,Guwahati,720,4097,3500000
2,Flat,Guwahati,1080,4000,5700000
3,Flat,Guwahati,1800,5882,15000000
3,Flat,Guwahati,1400,3172,7500000
3,Flat,Guwahati,1225,4600,6200000
3,Flat,Guwahati,1350,3655,4500000
3,Flat,Guwahati,1367,4308,5600000
3,Flat,Guwahati,1250,4453,5000000
3,Flat,Guwahati,800,4891,5000000
3,Flat,Guwahati,1860,4995,5900000
3,Flat,Guwahati,913,1200,4200000
3,Flat,Guwahati,1450,5163,5300000
3,Flat,Guwahati,1300,3718,5600000
3,Flat,Guwahati,1186,4385,5280000
2,Flat,Guwahati,680,5000,4500000
3,Flat,Guwahati,981,3438,4900000
3,Flat,Guwahati,1840,3000,9500000
3,Flat,Guwahati,1474,3922,6700000
3,Flat,Guwahati,1560,4289,5800000
3,Flat,Guwahati,1300,4500,5700000
2,Flat,Guwahati,1000,4702,5000000
3,Flat,Guwahati,1600,4332,5500000
2,Flat,Guwahati,1150,4231,6500000
3,Flat,Guwahati,1360,10714,7200000
2,Flat,Guwahati,1020,4653,4000000
3,Flat,Guwahati,1029,6667,6000000
3,Flat,Guwahati,1280,4737,5490000
3,Flat,Guwahati,1350,5833,6080000
3,Flat,Guwahati,1734,5556,8150000
3,Flat,Guwahati,1385,4333,6000000
3,Flat,Guwahati,1070,8261,5500000
3,Flat,Guwahati,1525,5781,10000000
2,Flat,Guwahati,1050,5455,5700000
2,Flat,Guwahati,1200,10949,8000000
2,Flat,Guwahati,950,6250,4500000
3,Flat,Guwahati,1200,10350,7000000
3,Flat,Guwahati,1300,6711,8000000
3,Flat,Guwahati,1500,4167,10800000
3,Flat,Guwahati,1600,6961,9500000
3,Flat,Guwahati,1370,6800,6000000
3,Flat,Guwahati,1200,5360,11200000
2,Flat,Guwahati,800,5390,5000000
2,Flat,Guwahati,1297,7907,5500000
3,Flat,Guwahati,1350,6126,12000000
3,Flat,Guwahati,900,6747,6900000
2,Flat,Guwahati,1250,4643,6000000
3,Flat,Guwahati,1050,3704,8500000
3,Flat,Guwahati,1270,5800,7500000
3,Flat,Guwahati,960,3409,6350000
3,Flat,Guwahati,1250,5119,4800000
3,Flat,Guwahati,1114,4375,6700000
3,Flat,Guwahati,860,5304,6010000
2,Flat,Guwahati,1095,5000,6200000
3,Flat,Guwahati,1250,4700,7390000
3,Flat,Guwahati,1000,5500,6500000
3,Flat,Guwahati,900,4000,5000000
2,Flat,Guwahati,2200,4750,5800000
3,Flat,Guwahati,1600,4200,7500000
3,Flat,Guwahati,1546,5430,7000000
3,Flat,Guwahati,1000,6977,8200000
2,Flat,Guwahati,800,6000,4500000
2,Flat,Guwahati,1000,6254,4000000
2,Flat,Guwahati,1000,5155,4700000
2,Flat,Guwahati,1800,3545,3600000
3,Flat,Guwahati,1000,5515,9500000
3,Flat,Guwahati,1000,3563,4600000
2,Flat,Guwahati,750,3889,4200000
3,Flat,Guwahati,1248,5477,6000000
3,Flat,Guwahati,1900,5415,7500000
3,Flat,Guwahati,907,429,9000000
3,Flat,Guwahati,1500,4205,5500000
3,Flat,Guwahati,1000,4421,7500000
3,Flat,Guwahati,1360,5473,3900000
3,Flat,Guwahati,1207,6250,7500000
3,Flat,Guwahati,900,7432,4300000
2,Flat,Guwahati,1552,5303,3500000
2,Flat,Guwahati,1910,6068,4500000
3,Flat,Guwahati,1300,5242,11399999
3,Flat,Guwahati,750,5405,600000
2,Flat,Guwahati,860,5333,3700000
2,Flat,Guwahati,960,4880,4200000
3,Flat,Guwahati,800,5000,7000000
2,Flat,Guwahati,1682,5297,6500000
3,Flat,Guwahati,1320,3833,12500000
3,Flat,Guwahati,850,5279,7000000
3,Flat,Guwahati,1615,4121,6000000
3,Flat,Guwahati,1240,5282,9800000
2,Flat,Guwahati,900,4500,3800000
2,Flat,Guwahati,1537,5481,5600000
3,Flat,Guwahati,1311,4663,7500000
3,Flat,Guwahati,1300,5703,8000000
3,Flat,Guwahati,1246,6944,6500000
2,Flat,Guwahati,1200,5093,6600000
3,Flat,Guwahati,1326,4769,4600000
3,Flat,Guwahati,1456,5070,7000000
3,Flat,Guwahati,852,6190,6000000
2,Flat,Guwahati,1100,4222,4500000
3,Flat,Guwahati,1000,4667,6200000
2,Flat,Guwahati,900,6842,5560000
2,Flat,Guwahati,815,4343,5700000
2,Flat,Guwahati,1280,3750,3800000
3,Flat,Guwahati,2160,4737,7300000
2,Flat,Guwahati,1300,38199,5500000
3,Flat,Guwahati,1050,4762,6200000
2,Flat,Guwahati,860,7105,6500000
2,Flat,Guwahati,925,6667,6500000
2,Flat,Guwahati,1315,5923,4480000
3,Flat,Guwahati,950,4545,7000000
2,Flat,Guwahati,860,4766,6500000
3,Flat,Guwahati,1000,4252,4300000
3,Flat,Guwahati,850,532,4500000
2,Flat,Guwahati,1460,5000,4500000
3,Flat,Guwahati,1170,5469,7200000
2,Flat,Guwahati,1900,4071,5000000
2,Flat,Guwahati,861,5348,6000000
2,Flat,Guwahati,950,5372,5100000
2,Flat,Guwahati,1411,5738,5100000
3,Flat,Guwahati,1128,4783,6000000
2,Flat,Guwahati,900,5816,600000
2,Flat,Guwahati,900,6126,5500000
3,Flat,Guwahati,1080,4577,7000000
2,Flat,Guwahati,1326,5000,3500000
3,Flat,Guwahati,1100,4617,6500000
3,Flat,Guwahati,1143,6000,5700000
3,Flat,Guwahati,1365,5478,5400000
3,Flat,Guwahati,1210,5538,7300000
2,Flat,Guwahati,1000,5000,4800000
2,Flat,Guwahati,850,4592,7000000
2,Flat,Guwahati,980,5909,5500000
2,Flat,Guwahati,1110,6301,5700000
2,Flat,Guwahati,1300,900,6800000
3,Flat,Guwahati,1420,5000,7000000
3,Flat,Guwahati,847,4688,6500000
3,Flat,Guwahati,1022,6087,5500000
3,Flat,Guwahati,800,4130,5900000
2,Flat,Guwahati,850,4524,4800000
2,Flat,Guwahati,1250,4825,5730000
3,Flat,Guwahati,929,6400,7200000
2,Flat,Guwahati,700,6034,5000000
2,Flat,Guwahati,980,4960,3500000
2,Flat,Guwahati,1100,4078,4500000
2,Flat,Guwahati,907,5592,6500000
3,Flat,Guwahati,5000,5571,8500000
3,Flat,Guwahati,1600,4324,6500000
3,Flat,Guwahati,1150,4478,7500000
2,Flat,Guwahati,2300,4892,7000000
3,Flat,Guwahati,1085,6588,9500000
3,Flat,Guwahati,970,5900,5700000
3,Flat,Guwahati,1000,5164,5500000
3,Flat,Guwahati,1150,4435,6800000
3,Flat,Guwahati,1199,4870,6200000
3,Flat,Guwahati,1234,5000,6500000
3,Flat,Guwahati,1006,6486,6900000
2,Flat,Guwahati,1378,4568,6000000
3,Flat,Guwahati,1110,6579,10000000
3,Flat,Guwahati,1200,5750,4800000
3,Flat,Guwahati,850,1512,6000000
2,Flat,Guwahati,1700,12500,5200000
3,Flat,Guwahati,2400,5404,11200000
3,Flat,Guwahati,1491,5000,8000000
3,Flat,Guwahati,1700,6711,7700000
3,Flat,Guwahati,950,4211,6000000
2,Flat,Guwahati,2000,4711,3700000
2,Flat,Guwahati,1064,4640,7500000
3,Flat,Guwahati,1200,5000,10000000
3,Flat,Guwahati,1500,6957,5950000
2,Flat,Guwahati,920,5611,5000000
2,Flat,Guwahati,1400,4536,7000000
3,Flat,Guwahati,950,4961,4600000
2,Flat,Guwahati,1199,4089,4000000
3,Flat,Guwahati,1500,5622,9070000
3,Flat,Guwahati,850,6111,8200000
2,Flat,Guwahati,849,4595,3800000
2,Flat,Guwahati,1050,5587,4000000
2,Flat,Guwahati,1250,6318,7500000
3,Flat,Guwahati,1800,6479,5800000
2,Flat,Guwahati,1225,5674,1800000
2,Flat,Guwahati,1120,4375,5500000
3,Flat,Guwahati,1600,5963,8000000
2,Flat,Guwahati,970,4138,5100000
2,Flat,Guwahati,1411,6151,4400000
2,Flat,Guwahati,1274,7257,7000000
3,Flat,Guwahati,899,5857,5210000
3,Flat,Guwahati,900,3333,7000000
2,Flat,Guwahati,1850,4143,5500000
3,Flat,Guwahati,1056,7865,8500000
2,Flat,Guwahati,800,6800,5900000
2,Flat,Guwahati,1312,5061,7000000
3,Flat,Guwahati,1650,4868,8500000
3,Flat,Guwahati,1410,3455,9800000
3,Flat,Guwahati,1200,5840,8000000
3,Flat,Guwahati,872,5824,7000000
2,Flat,Guwahati,1250,4327,5200000
3,Flat,Guwahati,1460,2929,6800000
3,Flat,Guwahati,1450,2254,7000000
3,Flat,Guwahati,1138,4038,6000000
2,Flat,Guwahati,700,8824,5000000
2,Flat,Guwahati,1200,4500,4100000
3,Flat,Guwahati,1200,4156,4000000
3,Flat,Guwahati,740,667,5800000
3,Flat,Guwahati,1017,600,7000000
2,Flat,Guwahati,3600,4688,5000000
3,Flat,Guwahati,988,4505,8500000
3,Flat,Guwahati,1099,4724,5000000
2,Flat,Guwahati,910,5300,5350000
2,Flat,Guwahati,1150,4235,3800000
3,Flat,Guwahati,810,4333,7300000
2,Flat,Guwahati,900,4327,5300000
3,Flat,Guwahati,1150,4500,5500000
3,Flat,Guwahati,830,4480,4100000
2,Flat,Guwahati,950,5000,4200000
2,Flat,Guwahati,1700,3333,4200000
3,Flat,Guwahati,1155,7692,6750000
3,Flat,Guwahati,1350,4615,4800000
3,Flat,Guwahati,1300,3583,7500000
3,Flat,Guwahati,1110,5763,7500000
3,Flat,Guwahati,1150,5417,5000000
3,Flat,Guwahati,1400,4555,6000000
3,Flat,Guwahati,850,4302,7420000
3,Flat,Guwahati,900,3462,3600000
2,Flat,Guwahati,800,3864,3900000
2,Flat,Guwahati,800,5859,4500000
3,Flat,Guwahati,925,2308,4500000
3,Flat,Guwahati,1200,4611,5600000
3,Flat,Guwahati,1200,2800,6900000
3,Flat,Guwahati,952,5455,4000000
3,Flat,Guwahati,950,3175,4220000
2,Flat,Guwahati,960,3061,3600000
2,Flat,Guwahati,1000,3333,3000000
2,Flat,Guwahati,1100,3000,2800000
3,Flat,Guwahati,1475,3000,4300000
3,Flat,Guwahati,1200,3922,8500000
2,Flat,Guwahati,988,4400,6500000
3,Flat,Guwahati,957,3215,4500000
3,Flat,Guwahati,1300,3130,5150000
3,Flat,Guwahati,1100,2397,4500000
3,Flat,Guwahati,1300,3505,750000
3,Flat,Guwahati,1418,3889,7630000
3,Flat,Guwahati,1260,3616,9000000
2,Flat,Guwahati,1100,3600,4000000
2,Flat,Guwahati,800,4141,6050000
2,Flat,Guwahati,1200,3684,3000000
3,Flat,Guwahati,1000,2708,4000000
2,Flat,Guwahati,1200,5000,3000000
3,Flat,Guwahati,1020,1529,3600000
2,Flat,Guwahati,1250,3000,4000000
3,Flat,Guwahati,1244,5462,5500000
3,Flat,Guwahati,1150,6976,4000000
